Date,City,State,Scenario,Latitude,Longitude,AQI,PM2.5,PM10,NO2,CO,Temperature,Humidity,WindSpeed,Traffic,ConstructionActivity,IndustrialActivity,RiskZone,Hotspot
01-07-2026,Delhi,Delhi,Normal,28.6139,77.209,315,177,293,82,2.38,35,58,10,High,High,High,Very Poor,TRUE
02-07-2026,Delhi,Delhi,Normal,28.6139,77.209,318,178,295,82,2.4,35,58,10,High,High,High,Very Poor,TRUE
03-07-2026,Delhi,Delhi,Normal,28.6139,77.209,321,179,297,82,2.42,35,58,10,High,High,High,Very Poor,TRUE
04-07-2026,Delhi,Delhi,Normal,28.6139,77.209,324,181,299,83,2.43,35,58,10,High,High,High,Very Poor,TRUE
05-07-2026,Delhi,Delhi,Normal,28.6139,77.209,315,177,293,82,2.38,35,58,10,High,High,High,Very Poor,TRUE
06-07-2026,Delhi,Delhi,Normal,28.6139,77.209,318,178,295,82,2.4,35,58,10,High,High,High,Very Poor,TRUE
07-07-2026,Delhi,Delhi,Normal,28.6139,77.209,321,179,297,82,2.42,35,58,10,High,High,High,Very Poor,TRUE
01-07-2026,Delhi,Delhi,Festival,28.6139,77.209,385,214,348,94,2.73,36,55,8,High,High,High,Very Poor,TRUE
02-07-2026,Delhi,Delhi,Festival,28.6139,77.209,388,216,351,94,2.75,36,55,8,High,High,High,Very Poor,TRUE
03-07-2026,Delhi,Delhi,Festival,28.6139,77.209,391,218,353,95,2.76,36,55,8,High,High,High,Very Poor,TRUE
04-07-2026,Delhi,Delhi,Festival,28.6139,77.209,394,219,355,95,2.78,36,55,8,High,High,High,Very Poor,TRUE
05-07-2026,Delhi,Delhi,Festival,28.6139,77.209,385,214,348,94,2.73,36,55,8,High,High,High,Very Poor,TRUE
06-07-2026,Delhi,Delhi,Festival,28.6139,77.209,388,216,351,94,2.75,36,55,8,High,High,High,Very Poor,TRUE
07-07-2026,Delhi,Delhi,Festival,28.6139,77.209,391,218,353,95,2.76,36,55,8,High,High,High,Very Poor,TRUE
01-07-2026,Delhi,Delhi,Rainy,28.6139,77.209,255,144,245,71,2.08,34,66,14,Low,High,High,Poor,TRUE
02-07-2026,Delhi,Delhi,Rainy,28.6139,77.209,258,145,247,72,2.1,34,66,14,Low,High,High,Poor,TRUE
03-07-2026,Delhi,Delhi,Rainy,28.6139,77.209,261,147,250,72,2.11,34,66,14,Low,High,High,Poor,TRUE
04-07-2026,Delhi,Delhi,Rainy,28.6139,77.209,264,149,252,73,2.13,34,66,14,Low,High,High,Poor,TRUE
05-07-2026,Delhi,Delhi,Rainy,28.6139,77.209,255,144,245,71,2.08,34,66,14,Low,High,High,Poor,TRUE
06-07-2026,Delhi,Delhi,Rainy,28.6139,77.209,258,145,247,72,2.1,34,66,14,Low,High,High,Poor,TRUE
07-07-2026,Delhi,Delhi,Rainy,28.6139,77.209,261,147,250,72,2.11,34,66,14,Low,High,High,Poor,TRUE
01-07-2026,Delhi,Delhi,Industrial Peak,28.6139,77.209,355,198,324,88,2.58,35,58,10,High,High,High,Very Poor,TRUE
02-07-2026,Delhi,Delhi,Industrial Peak,28.6139,77.209,358,200,327,89,2.6,35,58,10,High,High,High,Very Poor,TRUE
03-07-2026,Delhi,Delhi,Industrial Peak,28.6139,77.209,361,201,329,89,2.61,35,58,10,High,High,High,Very Poor,TRUE
04-07-2026,Delhi,Delhi,Industrial Peak,28.6139,77.209,364,203,331,90,2.63,35,58,10,High,High,High,Very Poor,TRUE
05-07-2026,Delhi,Delhi,Industrial Peak,28.6139,77.209,355,198,324,88,2.58,35,58,10,High,High,High,Very Poor,TRUE
06-07-2026,Delhi,Delhi,Industrial Peak,28.6139,77.209,358,200,327,89,2.6,35,58,10,High,High,High,Very Poor,TRUE
07-07-2026,Delhi,Delhi,Industrial Peak,28.6139,77.209,361,201,329,89,2.61,35,58,10,High,High,High,Very Poor,TRUE
01-07-2026,Mumbai,Maharashtra,Normal,19.076,72.8777,159,67,124,42,1.09,31,78,18,High,Medium,Medium,Moderate,FALSE
02-07-2026,Mumbai,Maharashtra,Normal,19.076,72.8777,162,68,126,42,1.1,31,78,18,High,Medium,Medium,Moderate,FALSE
03-07-2026,Mumbai,Maharashtra,Normal,19.076,72.8777,165,69,128,42,1.11,31,78,18,High,Medium,Medium,Moderate,FALSE
04-07-2026,Mumbai,Maharashtra,Normal,19.076,72.8777,168,71,130,43,1.13,31,78,18,High,Medium,Medium,Moderate,FALSE
05-07-2026,Mumbai,Maharashtra,Normal,19.076,72.8777,159,67,124,42,1.09,31,78,18,High,Medium,Medium,Moderate,FALSE
06-07-2026,Mumbai,Maharashtra,Normal,19.076,72.8777,162,68,126,42,1.1,31,78,18,High,Medium,Medium,Moderate,FALSE
07-07-2026,Mumbai,Maharashtra,Normal,19.076,72.8777,165,69,128,42,1.11,31,78,18,High,Medium,Medium,Moderate,FALSE
01-07-2026,Mumbai,Maharashtra,Festival,19.076,72.8777,229,104,179,54,1.44,32,75,16,High,Medium,Medium,Poor,TRUE
02-07-2026,Mumbai,Maharashtra,Festival,19.076,72.8777,232,106,182,54,1.45,32,75,16,High,Medium,Medium,Poor,TRUE
03-07-2026,Mumbai,Maharashtra,Festival,19.076,72.8777,235,108,184,55,1.47,32,75,16,High,Medium,Medium,Poor,TRUE
04-07-2026,Mumbai,Maharashtra,Festival,19.076,72.8777,238,109,186,55,1.48,32,75,16,High,Medium,Medium,Poor,TRUE
05-07-2026,Mumbai,Maharashtra,Festival,19.076,72.8777,229,104,179,54,1.44,32,75,16,High,Medium,Medium,Poor,TRUE
06-07-2026,Mumbai,Maharashtra,Festival,19.076,72.8777,232,106,182,54,1.45,32,75,16,High,Medium,Medium,Poor,TRUE
07-07-2026,Mumbai,Maharashtra,Festival,19.076,72.8777,235,108,184,55,1.47,32,75,16,High,Medium,Medium,Poor,TRUE
01-07-2026,Mumbai,Maharashtra,Rainy,19.076,72.8777,99,34,76,31,0.79,30,86,22,Low,Medium,Medium,Satisfactory,FALSE
02-07-2026,Mumbai,Maharashtra,Rainy,19.076,72.8777,102,35,78,32,0.8,30,86,22,Low,Medium,Medium,Moderate,FALSE
03-07-2026,Mumbai,Maharashtra,Rainy,19.076,72.8777,105,37,81,32,0.82,30,86,22,Low,Medium,Medium,Moderate,FALSE
04-07-2026,Mumbai,Maharashtra,Rainy,19.076,72.8777,108,39,83,33,0.83,30,86,22,Low,Medium,Medium,Moderate,FALSE
05-07-2026,Mumbai,Maharashtra,Rainy,19.076,72.8777,99,34,76,31,0.79,30,86,22,Low,Medium,Medium,Satisfactory,FALSE
06-07-2026,Mumbai,Maharashtra,Rainy,19.076,72.8777,102,35,78,32,0.8,30,86,22,Low,Medium,Medium,Moderate,FALSE
07-07-2026,Mumbai,Maharashtra,Rainy,19.076,72.8777,105,37,81,32,0.82,30,86,22,Low,Medium,Medium,Moderate,FALSE
01-07-2026,Mumbai,Maharashtra,Industrial Peak,19.076,72.8777,199,88,155,48,1.29,31,78,18,High,Medium,Medium,Moderate,FALSE
02-07-2026,Mumbai,Maharashtra,Industrial Peak,19.076,72.8777,202,90,158,49,1.3,31,78,18,High,Medium,Medium,Poor,TRUE
03-07-2026,Mumbai,Maharashtra,Industrial Peak,19.076,72.8777,205,91,160,49,1.32,31,78,18,High,Medium,Medium,Poor,TRUE
04-07-2026,Mumbai,Maharashtra,Industrial Peak,19.076,72.8777,208,93,162,50,1.33,31,78,18,High,Medium,Medium,Poor,TRUE
05-07-2026,Mumbai,Maharashtra,Industrial Peak,19.076,72.8777,199,88,155,48,1.29,31,78,18,High,Medium,Medium,Moderate,FALSE
06-07-2026,Mumbai,Maharashtra,Industrial Peak,19.076,72.8777,202,90,158,49,1.3,31,78,18,High,Medium,Medium,Poor,TRUE
07-07-2026,Mumbai,Maharashtra,Industrial Peak,19.076,72.8777,205,91,160,49,1.32,31,78,18,High,Medium,Medium,Poor,TRUE
01-07-2026,Pune,Maharashtra,Normal,18.5204,73.8567,123,53,102,34,0.79,29,60,15,Medium,Medium,Low,Moderate,FALSE
02-07-2026,Pune,Maharashtra,Normal,18.5204,73.8567,126,54,104,34,0.8,29,60,15,Medium,Medium,Low,Moderate,FALSE
03-07-2026,Pune,Maharashtra,Normal,18.5204,73.8567,129,55,106,34,0.82,29,60,15,Medium,Medium,Low,Moderate,FALSE
04-07-2026,Pune,Maharashtra,Normal,18.5204,73.8567,132,57,108,35,0.83,29,60,15,Medium,Medium,Low,Moderate,FALSE
05-07-2026,Pune,Maharashtra,Normal,18.5204,73.8567,123,53,102,34,0.79,29,60,15,Medium,Medium,Low,Moderate,FALSE
06-07-2026,Pune,Maharashtra,Normal,18.5204,73.8567,126,54,104,34,0.8,29,60,15,Medium,Medium,Low,Moderate,FALSE
07-07-2026,Pune,Maharashtra,Normal,18.5204,73.8567,129,55,106,34,0.82,29,60,15,Medium,Medium,Low,Moderate,FALSE
01-07-2026,Pune,Maharashtra,Festival,18.5204,73.8567,193,90,157,46,1.14,30,57,13,High,Medium,Low,Moderate,FALSE
02-07-2026,Pune,Maharashtra,Festival,18.5204,73.8567,196,92,160,46,1.15,30,57,13,High,Medium,Low,Moderate,FALSE
03-07-2026,Pune,Maharashtra,Festival,18.5204,73.8567,199,94,162,47,1.17,30,57,13,High,Medium,Low,Moderate,FALSE
04-07-2026,Pune,Maharashtra,Festival,18.5204,73.8567,202,95,164,47,1.18,30,57,13,High,Medium,Low,Poor,TRUE
05-07-2026,Pune,Maharashtra,Festival,18.5204,73.8567,193,90,157,46,1.14,30,57,13,High,Medium,Low,Moderate,FALSE
06-07-2026,Pune,Maharashtra,Festival,18.5204,73.8567,196,92,160,46,1.15,30,57,13,High,Medium,Low,Moderate,FALSE
07-07-2026,Pune,Maharashtra,Festival,18.5204,73.8567,199,94,162,47,1.17,30,57,13,High,Medium,Low,Moderate,FALSE
01-07-2026,Pune,Maharashtra,Rainy,18.5204,73.8567,63,20,54,23,0.49,28,68,19,Low,Medium,Low,Satisfactory,FALSE
02-07-2026,Pune,Maharashtra,Rainy,18.5204,73.8567,66,21,56,24,0.5,28,68,19,Low,Medium,Low,Satisfactory,FALSE
03-07-2026,Pune,Maharashtra,Rainy,18.5204,73.8567,69,23,59,24,0.52,28,68,19,Low,Medium,Low,Satisfactory,FALSE
04-07-2026,Pune,Maharashtra,Rainy,18.5204,73.8567,72,25,61,25,0.53,28,68,19,Low,Medium,Low,Satisfactory,FALSE
05-07-2026,Pune,Maharashtra,Rainy,18.5204,73.8567,63,20,54,23,0.49,28,68,19,Low,Medium,Low,Satisfactory,FALSE
06-07-2026,Pune,Maharashtra,Rainy,18.5204,73.8567,66,21,56,24,0.5,28,68,19,Low,Medium,Low,Satisfactory,FALSE
07-07-2026,Pune,Maharashtra,Rainy,18.5204,73.8567,69,23,59,24,0.52,28,68,19,Low,Medium,Low,Satisfactory,FALSE
01-07-2026,Pune,Maharashtra,Industrial Peak,18.5204,73.8567,163,74,133,40,0.99,29,60,15,High,Medium,Low,Moderate,FALSE
02-07-2026,Pune,Maharashtra,Industrial Peak,18.5204,73.8567,166,76,136,41,1,29,60,15,High,Medium,Low,Moderate,FALSE
03-07-2026,Pune,Maharashtra,Industrial Peak,18.5204,73.8567,169,77,138,41,1.02,29,60,15,High,Medium,Low,Moderate,FALSE
04-07-2026,Pune,Maharashtra,Industrial Peak,18.5204,73.8567,172,79,140,42,1.03,29,60,15,High,Medium,Low,Moderate,FALSE
05-07-2026,Pune,Maharashtra,Industrial Peak,18.5204,73.8567,163,74,133,40,0.99,29,60,15,High,Medium,Low,Moderate,FALSE
06-07-2026,Pune,Maharashtra,Industrial Peak,18.5204,73.8567,166,76,136,41,1,29,60,15,High,Medium,Low,Moderate,FALSE
07-07-2026,Pune,Maharashtra,Industrial Peak,18.5204,73.8567,169,77,138,41,1.02,29,60,15,High,Medium,Low,Moderate,FALSE
01-07-2026,Bengaluru,Karnataka,Normal,12.9716,77.5946,91,34,70,24,0.68,27,65,14,Medium,Medium,Low,Satisfactory,FALSE
02-07-2026,Bengaluru,Karnataka,Normal,12.9716,77.5946,94,35,72,24,0.7,27,65,14,Medium,Medium,Low,Satisfactory,FALSE
03-07-2026,Bengaluru,Karnataka,Normal,12.9716,77.5946,97,36,74,24,0.71,27,65,14,Medium,Medium,Low,Satisfactory,FALSE
04-07-2026,Bengaluru,Karnataka,Normal,12.9716,77.5946,100,38,76,25,0.73,27,65,14,Medium,Medium,Low,Satisfactory,FALSE
05-07-2026,Bengaluru,Karnataka,Normal,12.9716,77.5946,91,34,70,24,0.68,27,65,14,Medium,Medium,Low,Satisfactory,FALSE
06-07-2026,Bengaluru,Karnataka,Normal,12.9716,77.5946,94,35,72,24,0.7,27,65,14,Medium,Medium,Low,Satisfactory,FALSE
07-07-2026,Bengaluru,Karnataka,Normal,12.9716,77.5946,97,36,74,24,0.71,27,65,14,Medium,Medium,Low,Satisfactory,FALSE
01-07-2026,Bengaluru,Karnataka,Festival,12.9716,77.5946,161,71,125,36,1.03,28,62,12,High,Medium,Low,Moderate,FALSE
02-07-2026,Bengaluru,Karnataka,Festival,12.9716,77.5946,164,73,128,36,1.05,28,62,12,High,Medium,Low,Moderate,FALSE
03-07-2026,Bengaluru,Karnataka,Festival,12.9716,77.5946,167,75,130,37,1.06,28,62,12,High,Medium,Low,Moderate,FALSE
04-07-2026,Bengaluru,Karnataka,Festival,12.9716,77.5946,170,76,132,37,1.08,28,62,12,High,Medium,Low,Moderate,FALSE
05-07-2026,Bengaluru,Karnataka,Festival,12.9716,77.5946,161,71,125,36,1.03,28,62,12,High,Medium,Low,Moderate,FALSE
06-07-2026,Bengaluru,Karnataka,Festival,12.9716,77.5946,164,73,128,36,1.05,28,62,12,High,Medium,Low,Moderate,FALSE
07-07-2026,Bengaluru,Karnataka,Festival,12.9716,77.5946,167,75,130,37,1.06,28,62,12,High,Medium,Low,Moderate,FALSE
01-07-2026,Bengaluru,Karnataka,Rainy,12.9716,77.5946,40,5,22,13,0.38,26,73,18,Low,Medium,Low,Good,FALSE
02-07-2026,Bengaluru,Karnataka,Rainy,12.9716,77.5946,40,5,24,14,0.4,26,73,18,Low,Medium,Low,Good,FALSE
03-07-2026,Bengaluru,Karnataka,Rainy,12.9716,77.5946,40,5,27,14,0.41,26,73,18,Low,Medium,Low,Good,FALSE
04-07-2026,Bengaluru,Karnataka,Rainy,12.9716,77.5946,40,6,29,15,0.43,26,73,18,Low,Medium,Low,Good,FALSE
05-07-2026,Bengaluru,Karnataka,Rainy,12.9716,77.5946,40,5,22,13,0.38,26,73,18,Low,Medium,Low,Good,FALSE
06-07-2026,Bengaluru,Karnataka,Rainy,12.9716,77.5946,40,5,24,14,0.4,26,73,18,Low,Medium,Low,Good,FALSE
07-07-2026,Bengaluru,Karnataka,Rainy,12.9716,77.5946,40,5,27,14,0.41,26,73,18,Low,Medium,Low,Good,FALSE
01-07-2026,Bengaluru,Karnataka,Industrial Peak,12.9716,77.5946,131,55,101,30,0.89,27,65,14,High,Medium,Low,Moderate,FALSE
02-07-2026,Bengaluru,Karnataka,Industrial Peak,12.9716,77.5946,134,57,104,31,0.9,27,65,14,High,Medium,Low,Moderate,FALSE
03-07-2026,Bengaluru,Karnataka,Industrial Peak,12.9716,77.5946,137,58,106,31,0.91,27,65,14,High,Medium,Low,Moderate,FALSE
04-07-2026,Bengaluru,Karnataka,Industrial Peak,12.9716,77.5946,140,60,108,32,0.93,27,65,14,High,Medium,Low,Moderate,FALSE
05-07-2026,Bengaluru,Karnataka,Industrial Peak,12.9716,77.5946,131,55,101,30,0.89,27,65,14,High,Medium,Low,Moderate,FALSE
06-07-2026,Bengaluru,Karnataka,Industrial Peak,12.9716,77.5946,134,57,104,31,0.9,27,65,14,High,Medium,Low,Moderate,FALSE
07-07-2026,Bengaluru,Karnataka,Industrial Peak,12.9716,77.5946,137,58,106,31,0.91,27,65,14,High,Medium,Low,Moderate,FALSE
01-07-2026,Chennai,Tamil Nadu,Normal,13.0827,80.2707,115,47,86,32,0.89,33,72,20,Medium,Medium,Medium,Moderate,FALSE
02-07-2026,Chennai,Tamil Nadu,Normal,13.0827,80.2707,118,48,88,32,0.9,33,72,20,Medium,Medium,Medium,Moderate,FALSE
03-07-2026,Chennai,Tamil Nadu,Normal,13.0827,80.2707,121,49,90,32,0.92,33,72,20,Medium,Medium,Medium,Moderate,FALSE
04-07-2026,Chennai,Tamil Nadu,Normal,13.0827,80.2707,124,51,92,33,0.93,33,72,20,Medium,Medium,Medium,Moderate,FALSE
05-07-2026,Chennai,Tamil Nadu,Normal,13.0827,80.2707,115,47,86,32,0.89,33,72,20,Medium,Medium,Medium,Moderate,FALSE
06-07-2026,Chennai,Tamil Nadu,Normal,13.0827,80.2707,118,48,88,32,0.9,33,72,20,Medium,Medium,Medium,Moderate,FALSE
07-07-2026,Chennai,Tamil Nadu,Normal,13.0827,80.2707,121,49,90,32,0.92,33,72,20,Medium,Medium,Medium,Moderate,FALSE
01-07-2026,Chennai,Tamil Nadu,Festival,13.0827,80.2707,185,84,141,44,1.24,34,69,18,High,Medium,Medium,Moderate,FALSE
02-07-2026,Chennai,Tamil Nadu,Festival,13.0827,80.2707,188,86,144,44,1.25,34,69,18,High,Medium,Medium,Moderate,FALSE
03-07-2026,Chennai,Tamil Nadu,Festival,13.0827,80.2707,191,88,146,45,1.27,34,69,18,High,Medium,Medium,Moderate,FALSE
04-07-2026,Chennai,Tamil Nadu,Festival,13.0827,80.2707,194,89,148,45,1.28,34,69,18,High,Medium,Medium,Moderate,FALSE
05-07-2026,Chennai,Tamil Nadu,Festival,13.0827,80.2707,185,84,141,44,1.24,34,69,18,High,Medium,Medium,Moderate,FALSE
06-07-2026,Chennai,Tamil Nadu,Festival,13.0827,80.2707,188,86,144,44,1.25,34,69,18,High,Medium,Medium,Moderate,FALSE
07-07-2026,Chennai,Tamil Nadu,Festival,13.0827,80.2707,191,88,146,45,1.27,34,69,18,High,Medium,Medium,Moderate,FALSE
01-07-2026,Chennai,Tamil Nadu,Rainy,13.0827,80.2707,55,14,38,21,0.58,32,80,24,Low,Medium,Medium,Satisfactory,FALSE
02-07-2026,Chennai,Tamil Nadu,Rainy,13.0827,80.2707,58,15,40,22,0.6,32,80,24,Low,Medium,Medium,Satisfactory,FALSE
03-07-2026,Chennai,Tamil Nadu,Rainy,13.0827,80.2707,61,17,43,22,0.61,32,80,24,Low,Medium,Medium,Satisfactory,FALSE
04-07-2026,Chennai,Tamil Nadu,Rainy,13.0827,80.2707,64,19,45,23,0.63,32,80,24,Low,Medium,Medium,Satisfactory,FALSE
05-07-2026,Chennai,Tamil Nadu,Rainy,13.0827,80.2707,55,14,38,21,0.58,32,80,24,Low,Medium,Medium,Satisfactory,FALSE
06-07-2026,Chennai,Tamil Nadu,Rainy,13.0827,80.2707,58,15,40,22,0.6,32,80,24,Low,Medium,Medium,Satisfactory,FALSE
07-07-2026,Chennai,Tamil Nadu,Rainy,13.0827,80.2707,61,17,43,22,0.61,32,80,24,Low,Medium,Medium,Satisfactory,FALSE
01-07-2026,Chennai,Tamil Nadu,Industrial Peak,13.0827,80.2707,155,68,117,38,1.08,33,72,20,High,Medium,Medium,Moderate,FALSE
02-07-2026,Chennai,Tamil Nadu,Industrial Peak,13.0827,80.2707,158,70,120,39,1.1,33,72,20,High,Medium,Medium,Moderate,FALSE
03-07-2026,Chennai,Tamil Nadu,Industrial Peak,13.0827,80.2707,161,71,122,39,1.11,33,72,20,High,Medium,Medium,Moderate,FALSE
04-07-2026,Chennai,Tamil Nadu,Industrial Peak,13.0827,80.2707,164,73,124,40,1.13,33,72,20,High,Medium,Medium,Moderate,FALSE
05-07-2026,Chennai,Tamil Nadu,Industrial Peak,13.0827,80.2707,155,68,117,38,1.08,33,72,20,High,Medium,Medium,Moderate,FALSE
06-07-2026,Chennai,Tamil Nadu,Industrial Peak,13.0827,80.2707,158,70,120,39,1.1,33,72,20,High,Medium,Medium,Moderate,FALSE
